Model,TN,FP,FN,TP,p,AUC,Precision,Recall,F1,LinearTrans,Algorithm,Actual N,Actual P,Precision,Recall,F1,AUC
KBFC_Hard_Tomek_2_alpha_target_gamma_0_0_v2_Linear_Transform,142035,8736,18549,8072,0.719951729,0.774025199,0.480247498,0.303219263,0.371743683,1,KBFC,142035 & 8736,18549 & 8072,0.48 & Precision \cr,0.303 & Recall \cr,0.372 & F1 \cr,0.774 & AUC \cr
KBFC_Hard_Tomek_2_alpha_target_gamma_0_5_v2_Linear_Transform,141940,8831,18546,8075,0.668578763,0.772772432,0.477641071,0.303331956,0.371044568,1,KBFC,141940 & 8831,18546 & 8075,0.478 & Precision \cr,0.303 & Recall \cr,0.371 & F1 \cr,0.773 & AUC \cr
KBFC_Hard_Tomek_0_alpha_target_gamma_2_0_v2_Linear_Transform,142209,8562,18611,8010,0.593907001,0.774956955,0.483345399,0.300890275,0.370903972,1,KBFC,142209 & 8562,18611 & 8010,0.483 & Precision \cr,0.301 & Recall \cr,0.371 & F1 \cr,0.775 & AUC \cr
KBFC_Hard_Tomek_2_alpha_target_gamma_1_0_v2_Linear_Transform,141986,8785,18562,8059,0.63196144,0.774111554,0.478449297,0.302730927,0.370837607,1,KBFC,141986 & 8785,18562 & 8059,0.478 & Precision \cr,0.303 & Recall \cr,0.371 & F1 \cr,0.774 & AUC \cr
KBFC_Hard_Tomek_1_alpha_target_gamma_0_0_v2_Linear_Transform,141908,8863,18547,8074,0.713068667,0.773447603,0.476707797,0.303294392,0.370734585,1,KBFC,141908 & 8863,18547 & 8074,0.477 & Precision \cr,0.303 & Recall \cr,0.371 & F1 \cr,0.773 & AUC \cr
KBFC_Hard_Tomek_2_alpha_target_gamma_2_0_v1_Linear_Transform,143062,7709,18840,7781,0.601212635,0.774615833,0.502324077,0.292288043,0.369557847,1,KBFC,143062 & 7709,18840 & 7781,0.502 & Precision \cr,0.292 & Recall \cr,0.37 & F1 \cr,0.775 & AUC \cr
KBFC_Hard_Tomek_1_alpha_balanced_gamma_0_0_v2_Linear_Transform,142187,8584,18695,7926,0.872600602,0.773870749,0.48007268,0.297734871,0.367542023,1,KBFC,142187 & 8584,18695 & 7926,0.48 & Precision \cr,0.298 & Recall \cr,0.368 & F1 \cr,0.774 & AUC \cr
KBFC_Hard_Tomek_1_alpha_target_gamma_1_0_v2_Linear_Transform,142489,8282,18817,7804,0.63037931,0.774536195,0.485142357,0.293152023,0.365477627,1,KBFC,142489 & 8282,18817 & 7804,0.485 & Precision \cr,0.293 & Recall \cr,0.365 & F1 \cr,0.775 & AUC \cr
KBFC_Hard_Tomek_1_alpha_target_gamma_2_0_v2_Linear_Transform,142415,8356,18810,7811,0.585669372,0.772969549,0.483144674,0.293414973,0.365112961,1,KBFC,142415 & 8356,18810 & 7811,0.483 & Precision \cr,0.293 & Recall \cr,0.365 & F1 \cr,0.773 & AUC \cr
KBFC_Hard_Tomek_2_alpha_target_gamma_5_0_v1_Linear_Transform,143466,7305,19049,7572,0.551754084,0.773079211,0.50897358,0.284437099,0.36494405,1,KBFC,143466 & 7305,19049 & 7572,0.509 & Precision \cr,0.284 & Recall \cr,0.365 & F1 \cr,0.773 & AUC \cr
