p,Filename,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}
0.68,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_1_0_gamma_1_0_5_v1_Train_Transformed_100,258,508,0.6631853785900783,418748,1822,72830,6096,0.7698913867138166,0.07723690545574335,0.015851978794624983
0.82,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_1_0_gamma_1_0_5_v1_Train_Transformed_98,200,396,0.6644295302013423,418666,1904,72665,6261,0.7668095529699939,0.07932747130223247,0.01634647724906706
0.86,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_1_0_gamma_1_0_5_v1_Train_Transformed_95,187,400,0.6814310051107325,418533,2037,72412,6514,0.7617822476903287,0.08253300560018245,0.01711925621025994
0.66,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_1_0_gamma_1_0_5_v1_Test,120,243,0.6694214876033058,179437,808,31644,2181,0.7296754767480763,0.0644789356984479,0.013962722473957117
0.77,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_1_0_gamma_1_0_5_v1_Test_Transformed_100,64,137,0.681592039800995,179834,411,32464,1361,0.768058690744921,0.04023651145602365,0.008277666183958518
0.86,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_1_0_gamma_1_0_5_v1_Test_Transformed_98,80,153,0.6566523605150214,179623,622,31978,1847,0.7480761441879303,0.05460458240946046,0.011533610501237912
0.88,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_1_0_gamma_1_0_5_v1_Test_Transformed_95,82,170,0.6746031746031746,179381,864,31525,2300,0.7269279393173198,0.0679970436067997,0.014780212080160695
0.56,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_2_0_v1_Train,347,681,0.6624513618677043,418661,1909,73043,5883,0.7550051334702259,0.07453817499936649,0.015599724522318496
0.59,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_2_0_v1_Train_Transformed_100,319,604,0.6543878656554712,418524,2046,72741,6185,0.7514275300692504,0.07836454400324354,0.016478610439322836
0.81,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_2_0_v1_Train_Transformed_98,216,447,0.6742081447963801,418366,2204,72469,6457,0.7455259207943655,0.08181081012594076,0.017339478194019573
0.86,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_2_0_v1_Train_Transformed_95,221,445,0.6681681681681682,418292,2278,72317,6609,0.7436705299876224,0.08373666472391861,0.017791934269743903
0.6,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_2_0_v1_Test,102,211,0.6741214057507987,179746,499,32375,1450,0.7439712673165726,0.04286770140428677,0.009104498528518709
0.66,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_2_0_v1_Test_Transformed_100,89,177,0.6654135338345865,179861,384,32613,1212,0.7593984962406015,0.03583148558758315,0.007455505208576634
0.9,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_2_0_v1_Test_Transformed_98,69,136,0.6634146341463415,179829,416,32558,1267,0.7528223410576351,0.03745750184774575,0.00786191432708927
0.92,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_2_0_v1_Test_Transformed_95,67,139,0.6747572815533981,179582,663,32018,1807,0.7315789473684211,0.0534220251293422,0.01153828187041622
0.83,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_1_0_v1_Train,429,853,0.6653666146645866,418953,1617,73928,4998,0.7555555555555555,0.06332514000456123,0.01324334929609046
0.86,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_1_0_v1_Train_Transformed_100,408,826,0.6693679092382496,418956,1614,73935,4991,0.7556396669190008,0.06323644933228594,0.013223329115748675
0.93,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_1_0_v1_Train_Transformed_98,356,707,0.665098777046096,419002,1568,74028,4898,0.7575007732755954,0.062058130400628436,0.01294504860899787
0.94,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_1_0_v1_Train_Transformed_95,349,695,0.6657088122605364,418587,1983,73215,5711,0.7422667013257084,0.07235891848060208,0.015403526754969008
0.84,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_1_0_v1_Test,157,333,0.6795918367346939,179634,611,32048,1777,0.7441373534338358,0.05253510716925351,0.011155229597795113
0.89,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_1_0_v1_Test_Transformed_100,153,329,0.6825726141078838,179791,454,32388,1437,0.7599153886832364,0.042483370288248334,0.008833559116176951
0.93,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_1_0_v1_Test_Transformed_98,145,292,0.6681922196796338,179522,723,31820,2005,0.7349706744868035,0.059275683665927566,0.012743495118419209
0.98,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_1_0_v1_Test_Transformed_95,134,270,0.6683168316831684,179845,400,32492,1333,0.7691863819965378,0.03940872135994087,0.008095482786004578
0.87,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_1_0_gamma_1_0_5_v1_Train,414,921,0.6898876404494382,418997,1573,73830,5096,0.7641325536062378,0.06456680941641538,0.013351458269936096
0.87,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_1_0_gamma_1_0_5_v1_Train_Transformed_100,415,905,0.6856060606060606,418881,1689,73609,5317,0.7589209249214959,0.06736690064110686,0.014026138347454234
0.92,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_1_0_gamma_1_0_5_v1_Train_Transformed_98,408,747,0.6467532467532467,418484,2086,72740,6186,0.7478239845261122,0.07837721409928287,0.016560693178724155
0.94,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_1_0_gamma_1_0_5_v1_Train_Transformed_95,387,687,0.6396648044692738,418570,2000,72881,6045,0.7513983840894966,0.07659073055773763,0.016106235084965646
0.89,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_1_0_gamma_1_0_5_v1_Test,168,371,0.6883116883116883,179804,441,32441,1384,0.7583561643835617,0.04091648189209165,0.008525248750408745
0.88,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_1_0_gamma_1_0_5_v1_Test_Transformed_100,173,352,0.6704761904761904,179569,676,31917,1908,0.7383900928792569,0.0564079822616408,0.012070817956743122
0.94,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_1_0_gamma_1_0_5_v1_Test_Transformed_98,136,287,0.6784869976359338,179569,676,31921,1904,0.737984496124031,0.05628972653362897,0.012052132480029896
0.96,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_1_0_gamma_1_0_5_v1_Test_Transformed_95,138,284,0.6729857819905213,179548,697,31874,1951,0.7367824773413897,0.05767923133776792,0.012369785584154715
0.74,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_2_0_v1_Train,424,800,0.6535947712418301,418927,1643,73953,4973,0.7516626360338573,0.06300838760357803,0.013245351314124638
0.81,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_2_0_v1_Train_Transformed_100,392,743,0.654625550660793,418942,1628,73985,4941,0.7521692799512864,0.06260294453031955,0.013151256466518251
0.9,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_2_0_v1_Train_Transformed_98,332,636,0.6570247933884298,418542,2028,73223,5703,0.7376794722545595,0.07225755771228747,0.015477601422233611
0.93,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_2_0_v1_Train_Transformed_95,304,605,0.6655665566556656,418607,1963,73334,5592,0.7401720714758439,0.07085117705192205,0.015125246248218203
0.76,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_2_0_v1_Test,129,282,0.6861313868613139,179775,470,32383,1442,0.75418410041841,0.04263118994826312,0.00893165786892138
0.81,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_2_0_v1_Test_Transformed_100,130,259,0.6658097686375322,179728,517,32284,1541,0.7487852283770651,0.0455580192165558,0.00961367776895408
0.92,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_2_0_v1_Test_Transformed_98,144,272,0.6538461538461539,179587,658,31999,1826,0.7351046698872786,0.053983739837398376,0.011603681038912505
0.95,OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_2_0_v1_Test_Transformed_95,137,254,0.649616368286445,179585,660,31989,1836,0.7355769230769231,0.05427937915742794,0.011659737469052179
0.68,LRC_Medium_Tomek_0_alpha_0_5_v1_Train,27,56,0.6746987951807228,420449,121,78744,182,0.6006600660066007,0.0023059574791576922,0.0006066114643560709
0.81,LRC_Medium_Tomek_0_alpha_0_5_v1_Train_Transformed_100,20,38,0.6551724137931034,420456,114,78747,179,0.6109215017064846,0.002267947191039708,0.0005865912840142864
1.0,LRC_Medium_Tomek_0_alpha_0_5_v1_Train_Transformed_98,644,874,0.5757575757575758,420570,0,78926,0,,0.0,0.0
1.0,LRC_Medium_Tomek_0_alpha_0_5_v1_Train_Transformed_95,1722,2114,0.551094890510949,420570,0,78926,0,,0.0,0.0
0.64,LRC_Medium_Tomek_0_alpha_0_5_v1_Test,36,61,0.6288659793814433,180096,149,33633,192,0.5630498533724341,0.0056762749445676275,0.0015929368898024011
0.83,LRC_Medium_Tomek_0_alpha_0_5_v1_Test_Transformed_100,26,51,0.6623376623376623,180086,159,33627,198,0.5546218487394958,0.005853658536585366,0.0016676787966552996
1.0,LRC_Medium_Tomek_0_alpha_0_5_v1_Test_Transformed_98,294,392,0.5714285714285714,180245,0,33825,0,,0.0,0.0
0.97,LRC_Medium_Tomek_0_alpha_0_5_v1_Test_Transformed_95,66,82,0.5540540540540541,179312,933,32791,1034,0.5256736146415861,0.030569105691056912,0.00918858317372822
0.94,LRC_Medium_Tomek_0_alpha_balanced_v1_Train,43,73,0.6293103448275862,420550,20,78894,32,0.6153846153846154,0.0004054430732584953,0.0001041049377772795
0.97,LRC_Medium_Tomek_0_alpha_balanced_v1_Train_Transformed_100,36,69,0.6571428571428571,420538,32,78885,41,0.5616438356164384,0.0005194739376124471,0.000146147316495027
1.0,LRC_Medium_Tomek_0_alpha_balanced_v1_Train_Transformed_98,887,1129,0.5600198412698413,420570,0,78926,0,,0.0,0.0
1.0,LRC_Medium_Tomek_0_alpha_balanced_v1_Train_Transformed_95,2075,2432,0.5396050587974263,420570,0,78926,0,,0.0,0.0
0.93,LRC_Medium_Tomek_0_alpha_balanced_v1_Test,36,58,0.6170212765957447,180220,25,33797,28,0.5283018867924528,0.000827790096082779,0.00024758256645022656
0.97,LRC_Medium_Tomek_0_alpha_balanced_v1_Test_Transformed_100,46,69,0.6,180203,42,33774,51,0.5483870967741935,0.001507760532150776,0.00043443733358247303
1.0,LRC_Medium_Tomek_0_alpha_balanced_v1_Test_Transformed_98,379,481,0.5593023255813954,180245,0,33825,0,,0.0,0.0
1.0,LRC_Medium_Tomek_0_alpha_balanced_v1_Test_Transformed_95,963,1038,0.5187406296851574,180245,0,33825,0,,0.0,0.0
0.78,BRFC_Medium_Tomek_0_alpha_0_5_v1_Train,1229,2321,0.6538028169014084,413256,7314,21008,57918,0.8878771155261221,0.7338266224057979,0.13059564040552876
0.78,BRFC_Medium_Tomek_0_alpha_0_5_v1_Train_Transformed_100,1229,2321,0.6538028169014084,413256,7314,21008,57918,0.8878771155261221,0.7338266224057979,0.13059564040552876
0.78,BRFC_Medium_Tomek_0_alpha_0_5_v1_Train_Transformed_98,1112,2200,0.6642512077294686,413511,7059,21344,57582,0.8907968626722977,0.7295694701365837,0.1294124477473293
0.78,BRFC_Medium_Tomek_0_alpha_0_5_v1_Train_Transformed_95,1109,2193,0.6641429436705028,413409,7161,21196,57730,0.8896457135812362,0.7314446443504041,0.12991295225587393
