Filename,n,nUnique,nUnique/n,95%,95%/n
BRFC_Hard_Tomek_0_alpha_0_5_v2_Train_Transformed,499496,2914,0.0058,113,0.0002
BRFC_Hard_Tomek_0_alpha_0_5_v2_Test,214070,2024,0.0095,131,0.0006
BRFC_Hard_Tomek_0_alpha_0_5_v2_Test_Transformed,214070,1955,0.0091,124,0.0006
BRFC_Hard_Tomek_0_alpha_balanced_v2_Train,499496,3993,0.0080,119,0.0002
BRFC_Hard_Tomek_0_alpha_balanced_v2_Train_Transformed,499496,3961,0.0079,115,0.0002
BRFC_Hard_Tomek_0_alpha_balanced_v2_Test,214070,2458,0.0115,139,0.0006
BRFC_Hard_Tomek_0_alpha_balanced_v2_Test_Transformed,214070,2406,0.0112,131,0.0006
AdaBoost_Hard_Tomek_0_v2_Train,499496,482579,0.9661,457604,0.9161
AdaBoost_Hard_Tomek_0_v2_Train_Transformed,499496,473303,0.9476,448328,0.8976
AdaBoost_Hard_Tomek_0_v2_Test,214070,210581,0.9837,199877,0.9337
AdaBoost_Hard_Tomek_0_v2_Test_Transformed,214070,206506,0.9647,195802,0.9147
Bagging_Hard_Tomek_0_v2_Train,499496,194,0.0004,10,0.0000
Bagging_Hard_Tomek_0_v2_Train_Transformed,499496,193,0.0004,10,0.0000
Bagging_Hard_Tomek_0_v2_Test,214070,147,0.0007,9,0.0000
Bagging_Hard_Tomek_0_v2_Test_Transformed,214070,147,0.0007,9,0.0000
RUSBoost_Hard_Tomek_0_v2_Train,499496,484977,0.9709,460002,0.9209
RUSBoost_Hard_Tomek_0_v2_Train_Transformed,499496,475585,0.9521,450610,0.9021
RUSBoost_Hard_Tomek_0_v2_Test,214070,211087,0.9861,200383,0.9361
RUSBoost_Hard_Tomek_0_v2_Test_Transformed,214070,206986,0.9669,196282,0.9169
EEC_Hard_Tomek_0_v2_Train,499496,1092,0.0022,322,0.0006
EEC_Hard_Tomek_0_v2_Train_Transformed,499496,1044,0.0021,306,0.0006
EEC_Hard_Tomek_0_v2_Test,214070,992,0.0046,324,0.0015
EEC_Hard_Tomek_0_v2_Test_Transformed,214070,953,0.0045,308,0.0014
KBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_v2_Train,499496,479245,0.9595,454270,0.9095
KBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_v2_Train_Transformed,499496,477357,0.9557,452382,0.9057
KBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_v2_Test,214070,210027,0.9811,199323,0.9311
KBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_v2_Test_Transformed,214070,209224,0.9774,198520,0.9274
KBFC_Hard_Tomek_0_alpha_0_5_gamma_0_0_v2_Train,499496,478674,0.9583,453699,0.9083
KBFC_Hard_Tomek_0_alpha_0_5_gamma_0_0_v2_Train_Transformed,499496,476946,0.9549,451971,0.9049
